map,orbit_map,target_p,observable,xi_true,lambda,orbit_id,orbit_seed,k,i_star,series_len_m,N_k,mu_hat,sigma_hat,xi_hat,mu_star_hat,sigma_star_hat,n_S_all,S_all_min,S_all_max,segment,n_used,alpha,istar_rule
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,8,12652959807021893632,8,100.0,29993,299.0,1.460410114537785,0.04723857303305715,-0.46924387621755737,1.1504989865231268,0.019769776254782056,4,100.0,115.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,8,12652959807021893632,9,170.0,29992,176.0,1.458027667076196,0.04393820303208375,-0.3946779125063414,1.1215994768598179,0.019806332751711807,18,170.0,275.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,8,12652959807021893632,10,270.0,29991,111.0,1.4585915168591344,0.0333754712426235,-0.25171833148219236,1.2292826924041271,0.018946533364833377,118,270.0,910.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,9,3168530485493864960,1,85.0,30000,352.0,4.367289067818646,1.3017421718946904,0.3158608160819758,1.9301782552946363,0.5319543617686494,184,85.0,1000.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,9,3168530485493864960,2,30.0,29999,999.0,1.839265443861594,0.06781408577953746,-0.7155467049873201,1.59246331699788,0.14884095674143832,11,30.0,85.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,9,3168530485493864960,3,,29998,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,9,3168530485493864960,4,,29997,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,9,3168530485493864960,5,,29996,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,9,3168530485493864960,6,95.0,29995,315.0,1.51300243866609,0.04744400676879144,-0.8271920225104037,0.915194273993358,0.0308253546497381,5,95.0,120.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,9,3168530485493864960,7,,29994,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,9,3168530485493864960,8,85.0,29993,352.0,1.4547952830330977,0.04940206328984626,-0.46010510779995173,1.1667781908239123,0.01951384500276196,6,85.0,135.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,9,3168530485493864960,9,145.0,29992,206.0,1.4537785490012678,0.04630823648998882,-0.3917853663569476,1.1298402281756632,0.01972836983609455,20,145.0,265.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,9,3168530485493864960,10,240.0,29991,124.0,1.4578605134121827,0.03678400527844688,-0.26201756376582286,1.2111300869939219,0.019783240680769268,40,240.0,505.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,10,13149471639644602368,1,70.0,30000,428.0,4.164737716648752,1.1550973232655095,0.35903553283271544,2.1948422384545747,0.44783485062730644,187,70.0,1000.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,10,13149471639644602368,2,25.0,29999,1199.0,1.835961790917869,0.08059446237657261,-0.8282661816959507,1.5642310246942495,0.17214937650399748,2,25.0,30.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,10,13149471639644602368,3,40.0,29998,749.0,1.5770226856496206,0.03509239086279853,-0.8038369169772499,1.3884146968694566,0.06126211434349136,2,40.0,45.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,10,13149471639644602368,4,,29997,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,10,13149471639644602368,5,,29996,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,10,13149471639644602368,6,,29995,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,10,13149471639644602368,7,,29994,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,10,13149471639644602368,8,,29993,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,10,13149471639644602368,9,205.0,29992,146.0,1.4694576001394695,0.04774397156592601,-0.5461487814640335,0.8924801811143486,0.017558247171488517,4,205.0,245.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,10,13149471639644602368,10,220.0,29991,136.0,1.4577672092372158,0.036740653329076584,-0.32474964162293235,1.1842606736156753,0.016558580112274922,106,220.0,905.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,11,5415793937069588480,1,20.0,30000,1500.0,2.949470070748834,0.7494930886024544,0.3223486913544873,2.111566513816976,0.47939597354419977,197,20.0,1000.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,11,5415793937069588480,2,30.0,29999,999.0,1.8471904507633234,0.06927021041153197,-0.8023044494101439,1.5700151947976306,0.16724109884951852,3,30.0,40.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,11,5415793937069588480,3,,29998,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,11,5415793937069588480,4,,29997,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,11,5415793937069588480,5,,29996,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,11,5415793937069588480,6,,29995,,,,,,,0,,,test,30000,0.01,min
